team,wins_2021,wins_2022,wins_2023,wins_2024,wins_diff,trending_up,forecast
SFO,10,13,12,12.10312918,0.103129179,1,13
DAL,12,12,12,12.03837112,0.03837112,1,13
BAL,8,10,13,12.51948221,-0.480517786,0,12
PHI,9,14,11,11.17654603,0.176546029,1,12
CLE,8,7,11,11.30027549,0.300275487,1,12
PIT,9,9,10,10.05834436,0.058344359,1,11
DET,3,9,12,10.88892035,-1.111079646,0,10
JAX,3,9,9,9.449442315,0.449442315,1,10
GNB,13,8,9,9.1357182,0.1357182,1,10
IND,9,4,9,9.370019503,0.370019503,1,10
CHI,6,3,7,9.042110495,2.042110495,1,10
DEN,7,5,8,8.465628113,0.465628113,1,9
LAR,12,5,10,9.99503846,-0.00496154,0,9
MIA,9,9,11,9.719543592,-1.280456408,0,9
MIN,8,13,7,8.799321894,1.799321894,1,9
NOR,9,7,9,8.990904751,-0.009095249,0,8
HOU,4,3,10,8.513755545,-1.486244455,0,8
SEA,7,9,9,8.880322249,-0.119677751,0,8
TAM,13,8,9,8.607463551,-0.392536449,0,8
CIN,10,12,9,8.745580873,-0.254419127,0,8
BUF,11,13,11,7.263951244,-3.736048756,0,7
LVR,10,6,8,7.157531327,-0.842468673,0,7
KAN,12,14,11,7.64350479,-3.35649521,0,7
ATL,7,7,7,6.875886304,-0.124113696,0,6
NYJ,4,7,7,6.233725243,-0.766274757,0,6
TEN,12,7,6,5.254500619,-0.745499381,0,5
ARI,11,4,4,4.366405436,0.366405436,1,5
WAS,7,8,4,4.775404438,0.775404438,1,5
NYG,4,9,6,5.97045881,-0.02954119,0,5
NWE,10,8,4,4.391343856,0.391343856,1,5
LAC,9,10,5,4.989927659,-0.010072341,0,4
CAR,5,7,2,2.719677968,0.719677968,1,3
