points,passing_yds,passing_int,passing_times_sacked,rushing_yds,fmb,punts_yds,penalty_yds,def_passing_yds,def_passing_int,def_passing_times_sacked,def_rushing_yds,def_fmb,pass_play_percentage,def_pass_play_percentage,drives,def_drives,tds_per_yard,def_tds_per_yard,fg_percentage,home_game
9,130.39,1.072,2.77,120.3,1.131,268.253,57.167,193.517,1.098,2.521,89.181,0.847,47.695,55.853,9.554,8.364,48.955,55.486,52.669,1
26,130.668,0.903,2.696,121.437,0.849,256.991,52.673,180.224,0.619,2.287,126.402,0.609,48,47.742,9.43,9.431,48.492,65.779,61.184,1
10,131.86,0.952,2.686,118.405,0.898,266.543,52.295,220.878,1.35,2.32,113.832,0.76,48.579,54.146,9.607,8.622,48.103,70.696,59.025,1
14,132.273,1.169,1.638,131.074,0.61,226.376,41.846,199.622,1.285,1.628,146.99,0.629,47.094,48.406,8.47,9.106,40.777,70.031,69.603,1
24,132.276,1.027,2.721,115.766,0.974,267.35,52.826,186.404,0.605,2.316,126.514,0.707,49.283,48.904,9.555,9.446,46.354,62.414,56.693,1
16,134.258,1.016,2.785,117.368,1.074,268.221,54.014,201.883,1.114,2.59,115.629,0.809,48.87,54.462,9.424,8.606,46.862,71.1,54.289,0
14,135.123,1.207,1.529,129.82,0.633,232.572,42.89,227.236,0.927,1.229,158.978,0.849,47.389,48.669,8.58,9.348,41.514,64.871,66.777,0
23,135.582,1.154,1.694,124.655,0.643,236.773,42.75,233.313,0.917,1.297,108.855,0.475,49.441,53.405,8.512,8.207,38.646,73.412,66.753,0
10,136.37,0.999,2.762,151.482,1.017,230.458,59.573,208.834,0.887,3.072,120.545,0.975,41.91,58.162,9.692,8.477,63.081,52.907,84.893,1
13,136.831,1.039,2.982,116.689,1.205,258.835,56.949,208.675,1.593,2.638,98.711,1.08,49.24,55.672,9.387,8.014,55.991,62.938,44.124,0
20,137.674,1.041,2.685,115.512,0.912,292.679,48.854,218.291,1.133,1.842,96.689,0.637,48.23,57.424,8.728,8.338,42.18,55.851,64.121,0
13,137.708,1.031,2.813,117.789,1.141,262.411,58.299,173.427,0.878,2.438,111.521,0.89,49.127,48.792,9.438,9.026,52.327,53.532,46.949,1
19,137.731,1.063,2.788,118.455,1.121,266.662,57.001,194.807,0.688,2.631,118.333,0.736,48.618,51.51,9.515,9.271,52.071,65.322,51.228,0
34,138.01,0.915,2.566,119.076,0.781,256.465,51.042,199.233,0.964,2.227,123.305,0.694,48.066,50.354,9.393,8.772,46.234,60.435,63.853,0
19,138.6,1.048,3.224,110.657,1.102,251.544,58.035,209.481,1.32,2.276,112.425,0.675,51.07,52.646,9.111,8.636,57.133,63.937,39.988,1
37,139.191,1.444,1.788,103.413,0.719,241.894,43.146,257.431,0.484,1.95,139.288,0.968,52.345,52.924,8.111,8.771,32.059,84.585,66.033,1
13,139.32,0.816,2.571,111.722,1.06,277.396,51.885,187.086,1.175,2.869,95.944,0.829,47.704,55.561,8.526,9.06,44.844,58.525,67.431,0
10,139.674,1.143,3.277,108.363,1.19,250.83,59.59,179.363,1.127,2.461,98.843,0.827,51.168,53.048,9.015,9.499,58.391,51.857,39.321,0
15,139.938,1.002,2.794,117.541,0.885,281.504,46.563,213.873,0.99,2.691,106.82,0.708,50.817,55.784,9.532,9.112,51.376,63.783,82.88,1
