,team,opponent,date
7396,DEN,TEN,1969-10-26
14323,MIA,BUF,1969-10-26
13092,LAC,LVR,1969-10-26
23416,TEN,DEN,1969-10-26
16009,NWE,NYJ,1969-10-26
2835,BUF,MIA,1969-10-26
18626,NYJ,NWE,1969-10-26
11964,LVR,LAC,1969-10-26
11746,KAN,CIN,1969-10-26
25031,WAS,IND,1969-11-02
11965,LVR,CIN,1969-11-02
20421,PIT,GNB,1969-11-02
17711,NYG,PHI,1969-11-02
19870,PHI,NYG,1969-11-02
7686,DET,SFO,1969-11-02
1407,ATL,LAR,1969-11-02
10006,IND,WAS,1969-11-02
2836,BUF,KAN,1969-11-02
9226,GNB,PIT,1969-11-02
6398,DAL,BAL,1969-11-02
15346,MIN,CHI,1969-11-02
2437,BAL,DAL,1969-11-02
23417,TEN,NWE,1969-11-02
4321,CHI,MIN,1969-11-02
13093,LAC,DEN,1969-11-02
13740,LAR,ATL,1969-11-02
7397,DEN,LAC,1969-11-02
763,ARI,NOR,1969-11-02
21256,SFO,DET,1969-11-02
17207,NOR,ARI,1969-11-02
11747,KAN,BUF,1969-11-02
16010,NWE,TEN,1969-11-02
14324,MIA,NYJ,1969-11-02
18627,NYJ,MIA,1969-11-02
13094,LAC,KAN,1969-11-09
1408,ATL,DET,1969-11-09
4322,CHI,PIT,1969-11-09
7687,DET,ATL,1969-11-09
764,ARI,NYG,1969-11-09
2837,BUF,NYJ,1969-11-09
16011,NWE,MIA,1969-11-09
15347,MIN,BAL,1969-11-09
17712,NYG,ARI,1969-11-09
13741,LAR,SFO,1969-11-09
18628,NYJ,BUF,1969-11-09
23418,TEN,CIN,1969-11-09
9227,GNB,IND,1969-11-09
2438,BAL,MIN,1969-11-09
17208,NOR,DAL,1969-11-09
11966,LVR,DEN,1969-11-09
20422,PIT,CHI,1969-11-09
25032,WAS,PHI,1969-11-09
10007,IND,GNB,1969-11-09
11748,KAN,LAC,1969-11-09
19871,PHI,WAS,1969-11-09
14325,MIA,NWE,1969-11-09
7398,DEN,LVR,1969-11-09
6399,DAL,NOR,1969-11-09
21257,SFO,LAR,1969-11-09
11967,LVR,LAC,1969-11-16
11749,KAN,NYJ,1969-11-16
21258,SFO,IND,1969-11-16
13095,LAC,LVR,1969-11-16
16012,NWE,CIN,1969-11-16
17209,NOR,NYG,1969-11-16
14326,MIA,BUF,1969-11-16
25033,WAS,DAL,1969-11-16
765,ARI,DET,1969-11-16
17713,NYG,NOR,1969-11-16
1409,ATL,CHI,1969-11-16
7688,DET,ARI,1969-11-16
6400,DAL,WAS,1969-11-16
